,Name,Subs,Identifier,Type,Full_identifier,Nr_featured,Featured
2555,CHIP,159000,CHIP,user,/user/CHIP,11,"['/user/felixba94', '/user/BUNTEtv', '/user/Techmoan', '/user/GameStarDE', '/channel/UC7CxchrET6AiP5duRIPDv9g', '/user/SwagTab', '/user/AlexiBexi', '/channel/UCFBapHA35loZ3KZwT_z3BsQ', '/user/Technikfaultier', '/user/iKnowReview', '/user/DEpcgames']"
2556,BUNTE TV,76800,BUNTEtv,user,/user/BUNTEtv,5,"['/channel/UC60NtakGfNg8ADQDOn2ifOQ', '/channel/UC9GuvfXZYCY0YedjX99Vo1Q', '/user/FOCUSTVReportagen', '/channel/UCVAYQota08CLHVbXMegrMmw', '/user/FOCUSGESUNDHEIT']"
2557,Love Island DE,248000,UC60NtakGfNg8ADQDOn2ifOQ,channel,/channel/UC60NtakGfNg8ADQDOn2ifOQ,1,['/channel/UC9GuvfXZYCY0YedjX99Vo1Q']
2558,BUNTE Flashlights,1310,UC9GuvfXZYCY0YedjX99Vo1Q,channel,/channel/UC9GuvfXZYCY0YedjX99Vo1Q,3,"['/channel/UCVAYQota08CLHVbXMegrMmw', '/user/BUNTEtv', '/user/FOCUSTVReportagen']"
2559,FOCUS TV Reportage,255000,FOCUSTVReportagen,user,/user/FOCUSTVReportagen,2,"['/user/FOCUSGESUNDHEIT', '/channel/UCVAYQota08CLHVbXMegrMmw']"
2560,Klaudia rettet die Welt,4070,UCVAYQota08CLHVbXMegrMmw,channel,/channel/UCVAYQota08CLHVbXMegrMmw,4,"['/user/BUNTEtv', '/user/FOCUSTVReportagen', '/user/FOCUSGESUNDHEIT', '/channel/UC9GuvfXZYCY0YedjX99Vo1Q']"
2561,FOCUS Gesundheit,4710,FOCUSGESUNDHEIT,user,/user/FOCUSGESUNDHEIT,5,"['/user/BUNTEtv', '/user/AbenteuerWissen', '/channel/UC9GuvfXZYCY0YedjX99Vo1Q', '/user/FOCUSTVReportagen', '/channel/UCVAYQota08CLHVbXMegrMmw']"
2562,Techmoan,1180000,Techmoan,user,/user/Techmoan,12,"['/channel/UCEN7Ij6ZaEz2c7rpLwblL5Q', '/user/adric22', '/user/phreakindee', '/channel/UCXnNibvR_YIdyPs8PZIBoEw', '/user/sammybartl', '/channel/UCafxR2HWJRmMfSdyZXvZMTw', '/channel/UCwxgo62w72LxZDA1fTibdYg', '/channel/UCy0tKL1T7wFoYcxCe0xjN6Q', '/channel/UCmOy2-vrvwDh6O1bTUB5m_g', '/user/BuckingTheTrend2008', '/user/ContourCorsets', '/user/plan4nigel']"
2563,TM Extras,893,UCEN7Ij6ZaEz2c7rpLwblL5Q,channel,/channel/UCEN7Ij6ZaEz2c7rpLwblL5Q,0,[]
2564,The 8-Bit Guy,1360000,adric22,user,/user/adric22,3,"['/user/engineerguyvideo', '/user/Techmoan', '/user/Vsauce']"
2565,Cathode Ray Dude,62900,UCXnNibvR_YIdyPs8PZIBoEw,channel,/channel/UCXnNibvR_YIdyPs8PZIBoEw,0,[]
2566,THIS MUSEUM IS (NOT) OBSOLETE,34900,sammybartl,user,/user/sammybartl,0,[]
2567,LOOK MUM NO COMPUTER,463000,UCafxR2HWJRmMfSdyZXvZMTw,channel,/channel/UCafxR2HWJRmMfSdyZXvZMTw,3,"['/user/miscpro', '/user/PewDiePie', '/user/sammybartl']"
2568,Camera Conspiracies,109000,UCwxgo62w72LxZDA1fTibdYg,channel,/channel/UCwxgo62w72LxZDA1fTibdYg,0,[]
2569,Technology Connections,1470000,UCy0tKL1T7wFoYcxCe0xjN6Q,channel,/channel/UCy0tKL1T7wFoYcxCe0xjN6Q,3,"['/user/Techmoan', '/user/Vsauce', '/user/enyay']"
2570,Yesterworld Entertainment,392000,UCmOy2-vrvwDh6O1bTUB5m_g,channel,/channel/UCmOy2-vrvwDh6O1bTUB5m_g,0,[]
2571,Paul Jenkinson,10100,BuckingTheTrend2008,user,/user/BuckingTheTrend2008,0,[]
2572,Fran Blanche,242000,ContourCorsets,user,/user/ContourCorsets,2,"['/user/Techmoan', '/user/CaptainDisillusion']"
2573,Ben Gott,430,plan4nigel,user,/user/plan4nigel,0,[]
2574,Restream.io,36100,UC7CxchrET6AiP5duRIPDv9g,channel,/channel/UC7CxchrET6AiP5duRIPDv9g,0,[]
2575,SwagTab,413000,SwagTab,user,/user/SwagTab,11,"['/user/FuchsPhone', '/user/AppDated', '/user/TechnikFreundYT', '/user/felixba94', '/user/mobiFlipDE', '/user/Technikfaultier', '/user/iReviewGER', '/user/AllAboutSamsung', '/user/TouchBennyNew', '/user/iKnowReview', '/user/iTouchTester']"
2576,FuchsPhone,83500,FuchsPhone,user,/user/FuchsPhone,2,"['/user/SwagTab', '/user/AppDated']"
2577,techloupe,74200,AppDated,user,/user/AppDated,4,"['/user/AllAboutSamsung', '/user/ArchitecturalDigest', '/user/JPPGmbH', '/user/felixba94']"
2578,TechnikFreundYT,35800,TechnikFreundYT,user,/user/TechnikFreundYT,8,"['/user/unsympathischtv', '/channel/UC-5Ao5j48FBONkfprK1m5YA', '/user/undFUSSBALL', '/channel/UC-XCiMi3dDl2u2oyU58YpqQ', '/user/PewDiePie', '/user/iKnowReview', '/user/felixba94', '/user/iTouchTester']"
2579,mobiFlip,25800,mobiFlipDE,user,/user/mobiFlipDE,7,"['/user/SwagTab', '/user/AppDated', '/user/iKnowReview', '/user/felixba94', '/user/AllAboutSamsung', '/user/iTouchTester', '/user/FuchsPhone']"
2580,Technikfaultier,328000,Technikfaultier,user,/user/Technikfaultier,0,[]
2581,i Review,31400,iReviewGER,user,/user/iReviewGER,2,"['/user/SwagTab', '/user/AppDated']"
2582,All About Samsung,130000,AllAboutSamsung,user,/user/AllAboutSamsung,4,"['/user/allroundpc', '/user/marquesbrownlee', '/user/SwagTab', '/channel/UCNNEMxGKV1LsKZRt4vaIbvw']"
2583,TouchBenny,40300,TouchBennyNew,user,/user/TouchBennyNew,5,"['/user/richardgutjahr', '/channel/UC-NZazksH-lR-Mif-3DZL3g', '/user/JPPGmbH', '/user/felixba94', '/user/VitalyzdTv']"
2584,iKnowReview,451000,iKnowReview,user,/user/iKnowReview,0,[]
2585,Valentin Möller,115000,iTouchTester,user,/user/iTouchTester,3,"['/user/felixba94', '/user/parkettwohnwelt', '/channel/UC1H1NWNTG2Xi3pt85ykVSHA']"
2586,PC Games,180000,DEpcgames,user,/user/DEpcgames,5,"['/user/PCGamesHardware', '/user/pcghingefahr', '/user/buffedTeam', '/user/play3Magazin', '/user/RossisWelt']"
2587,PCGH in Gefahr,30400,pcghingefahr,user,/user/pcghingefahr,1,['/user/PCGamesHardware']
2588,buffed.de,11400,buffedTeam,user,/user/buffedTeam,3,"['/user/biowaremasseffect', '/user/DEpcgames', '/user/PCGamesHardware']"
2589,play4Magazin,1750,play3Magazin,user,/user/play3Magazin,4,"['/user/buffedTeam', '/user/PCGamesHardware', '/user/DEpcgames', '/user/pcghingefahr']"
2590,Rossis Welt,-1,RossisWelt,user,/user/RossisWelt,5,"['/user/DEpcgames', '/user/PCGamesHardware', '/user/buffedTeam', '/user/pcghingefahr', '/user/play3Magazin']"
2591,FOCUS Online,159000,focusonline,user,/user/focusonline,11,"['/user/richardgutjahr', '/user/StanfordUniversity', '/user/thenobelprize', '/user/FDP', '/user/ruslifeeu', '/user/plautzenjotze', '/user/CHIP', '/user/BUNTEtv', '/user/fitforfunonline', '/channel/UCGB1NeDSZEc4FxK3hABVkGA', '/channel/UCBDCMjdd6ADDqhcg0JpsmLQ']"
2592,Nobel Prize,401000,thenobelprize,user,/user/thenobelprize,8,"['/user/StanfordUniversity', '/user/sciencemuseum', '/user/khanacademy', '/user/TEDtalksDirector', '/user/MIT', '/user/CarterCenter', '/user/NobelWeekDialogue', '/user/NobelPrizeII']"
2593,Science Museum,37100,sciencemuseum,user,/user/sciencemuseum,0,[]
2594,Khan Academy,7020000,khanacademy,user,/user/khanacademy,0,[]
2595,MIT OpenCourseWare,3450000,MIT,user,/user/MIT,0,[]
2596,The Carter Center,33400,CarterCenter,user,/user/CarterCenter,0,[]
