,Name,Subs,Identifier,Type,Full_identifier,Nr_featured,Featured
10,Levi Bernhardt,298000,UCTXV1vamTrEVSDgAhhBM4qQ,channel,/channel/UCTXV1vamTrEVSDgAhhBM4qQ,0,[]
11,emma chamberlain,11200000,UC78cxCAcp7JfQPgKxYdyGrg,channel,/channel/UC78cxCAcp7JfQPgKxYdyGrg,0,[]
12,Don's Life,529000,UCTz67lUTnS7EcH7MlSv930w,channel,/channel/UCTz67lUTnS7EcH7MlSv930w,0,[]
13,LARRAY,8450000,LarryVonVanity,user,/user/LarryVonVanity,0,[]
14,twaimz,4520000,twaimz,user,/user/twaimz,0,[]
15,Kurzgesagt – In a Nutshell,17300000,Kurzgesagt,user,/user/Kurzgesagt,1,['/user/KurzgesagtDE']
16,Kelly Stamps,660000,UCDkRPbUAnjbzCvLPgPsvpIw,channel,/channel/UCDkRPbUAnjbzCvLPgPsvpIw,0,[]
17,Cody Ko,5790000,codyko69,user,/user/codyko69,5,"['/channel/UCy06jHRS_82N2i5v1YL7glQ', '/channel/UCjK3S9T9x_FYB2yAQFfUnEQ', '/channel/UC4sf8XtH_uXnwNP699luQVQ', '/channel/UCr2YGSi6k38GdeVzwXpbmmw', '/channel/UCZym84-cGUKAf1T2isIIXvw']"
18,Cody & Ko,1450000,UCy06jHRS_82N2i5v1YL7glQ,channel,/channel/UCy06jHRS_82N2i5v1YL7glQ,3,"['/user/codyko69', '/channel/UC4sf8XtH_uXnwNP699luQVQ', '/channel/UCr2YGSi6k38GdeVzwXpbmmw']"
19,Cody Ko Shorts,18900,UCjK3S9T9x_FYB2yAQFfUnEQ,channel,/channel/UCjK3S9T9x_FYB2yAQFfUnEQ,5,"['/user/codyko69', '/channel/UCy06jHRS_82N2i5v1YL7glQ', '/channel/UC4sf8XtH_uXnwNP699luQVQ', '/channel/UCr2YGSi6k38GdeVzwXpbmmw', '/channel/UCZym84-cGUKAf1T2isIIXvw']"
20,Tiny Meat Gang,1160000,UC4sf8XtH_uXnwNP699luQVQ,channel,/channel/UC4sf8XtH_uXnwNP699luQVQ,1,['/user/codyko69']
21,Insanely Chill,246000,UCr2YGSi6k38GdeVzwXpbmmw,channel,/channel/UCr2YGSi6k38GdeVzwXpbmmw,3,"['/user/codyko69', '/channel/UCy06jHRS_82N2i5v1YL7glQ', '/channel/UC4sf8XtH_uXnwNP699luQVQ']"
22,Kelsey Kreppel,922000,UCZym84-cGUKAf1T2isIIXvw,channel,/channel/UCZym84-cGUKAf1T2isIIXvw,0,[]
23,Soony Sun,193000,UCUu64gYXG6IxLykJwIn_LKw,channel,/channel/UCUu64gYXG6IxLykJwIn_LKw,0,[]
24,Chris Fleming,434000,Chuntzit,user,/user/Chuntzit,7,"['/channel/UC-fdzympAmnctiOsqyuOFhA', '/user/chriscubed', '/user/robbyroadsteamer', '/channel/UCQ-02JpYnWFLV4GnuFFu2TA', '/user/BlakeWComedy', '/channel/UCjohrRJ1NBg6SGnBc_VlOdw', '/user/torturedteenagestyle']"
25,Brian Heveron-Smith,235,UC-fdzympAmnctiOsqyuOFhA,channel,/channel/UC-fdzympAmnctiOsqyuOFhA,2,"['/user/Chuntzit', '/channel/UCQ-02JpYnWFLV4GnuFFu2TA']"
26,chriscubed,871,chriscubed,user,/user/chriscubed,1,['/user/Chuntzit']
27,Rob Potylo,13200,robbyroadsteamer,user,/user/robbyroadsteamer,0,[]
28,Melissa Strype,5470,UCQ-02JpYnWFLV4GnuFFu2TA,channel,/channel/UCQ-02JpYnWFLV4GnuFFu2TA,2,"['/user/Chuntzit', '/channel/UC-fdzympAmnctiOsqyuOFhA']"
29,BlakeWComedy,36,BlakeWComedy,user,/user/BlakeWComedy,0,[]
30,Marcus Allen: The Web Series,106,UCjohrRJ1NBg6SGnBc_VlOdw,channel,/channel/UCjohrRJ1NBg6SGnBc_VlOdw,3,"['/channel/UC-fdzympAmnctiOsqyuOFhA', '/channel/UCQ-02JpYnWFLV4GnuFFu2TA', '/user/Chuntzit']"
31,Haley Blais,169000,torturedteenagestyle,user,/user/torturedteenagestyle,0,[]
32,crazyhitii,2730,crazyhitii,user,/user/crazyhitii,6,"['/channel/UC-59s1w6gpuuv8Eu_kBb54A', '/user/Nialies', '/user/sienduk', '/user/jasonoschultzz', '/channel/UC0mNj7YOPIy33hByA8O9HYQ', '/user/Elienerys']"
33,Mark Tuan,2910000,UC-59s1w6gpuuv8Eu_kBb54A,channel,/channel/UC-59s1w6gpuuv8Eu_kBb54A,0,[]
34,Nialies,11000,Nialies,user,/user/Nialies,0,[]
35,Сыендук,7110000,sienduk,user,/user/sienduk,3,"['/channel/UCI7wFB02qTLOPqO8mss4eFQ', '/user/siendubs', '/user/siendukLIVE']"
36,ЕГОР,743000,UCI7wFB02qTLOPqO8mss4eFQ,channel,/channel/UCI7wFB02qTLOPqO8mss4eFQ,6,"['/user/sienduk', '/channel/UC4yxdlsaRT6WpZ_FZQ6uIpQ', '/user/Spoontamer', '/user/psychodozerLive', '/user/usachevShow', '/channel/UC7APjv3NotZXg67k4z9PRJA']"
37,Satyr,1920000,UC4yxdlsaRT6WpZ_FZQ6uIpQ,channel,/channel/UC4yxdlsaRT6WpZ_FZQ6uIpQ,0,[]
38,Данила Поперечный,3320000,Spoontamer,user,/user/Spoontamer,2,"['/user/usachevShow', '/user/psychodozerLive']"
39,Канал Кшиштовского,584000,psychodozerLive,user,/user/psychodozerLive,6,"['/user/sienduk', '/channel/UC4yxdlsaRT6WpZ_FZQ6uIpQ', '/channel/UC7APjv3NotZXg67k4z9PRJA', '/user/usachevShow', '/user/Spoontamer', '/channel/UCI7wFB02qTLOPqO8mss4eFQ']"
40,Руслан Усачев,2640000,usachevShow,user,/user/usachevShow,4,"['/user/PewDiePie', '/user/Spoontamer', '/user/psychodozerLive', '/channel/UCI7wFB02qTLOPqO8mss4eFQ']"
41,Кир Агашков,16800,UC7APjv3NotZXg67k4z9PRJA,channel,/channel/UC7APjv3NotZXg67k4z9PRJA,4,"['/user/usachevShow', '/user/Spoontamer', '/user/psychodozerLive', '/channel/UCI7wFB02qTLOPqO8mss4eFQ']"
42,[сундучный архив],310000,siendubs,user,/user/siendubs,2,"['/user/sienduk', '/user/siendukLIVE']"
43,сыс тв,-1,siendukLIVE,user,/user/siendukLIVE,1,['/user/sienduk']
44,HeavyHalo,2530,jasonoschultzz,user,/user/jasonoschultzz,1,['/channel/UCX55wYwuxltE_HzzWcRPkgw']
45,heartxout;,4270,UCX55wYwuxltE_HzzWcRPkgw,channel,/channel/UCX55wYwuxltE_HzzWcRPkgw,11,"['/channel/UC-CncqoKlxCZSBS100ZYw8g', '/user/Nialies', '/user/jasonoschultzz', '/channel/UC0M3eWyPCmso9Tbl_QVO-iA', '/channel/UC0f6XBrZ6MBzeCm4vvQRoCA', '/user/ToveLoVEVO', '/user/Gytaket', '/user/lightningxdisaster', '/user/GreatWhiteRep', '/user/69britchcf2', '/user/xLotsFanx']"
46,golden hour,3920,UC-CncqoKlxCZSBS100ZYw8g,channel,/channel/UC-CncqoKlxCZSBS100ZYw8g,1,['/user/Bilanka960']
47,twilightdarks,-1,UC0M3eWyPCmso9Tbl_QVO-iA,channel,/channel/UC0M3eWyPCmso9Tbl_QVO-iA,0,[]
48,Disastrous,2940,UC0f6XBrZ6MBzeCm4vvQRoCA,channel,/channel/UC0f6XBrZ6MBzeCm4vvQRoCA,0,[]
49,ToveLoVEVO,-1,ToveLoVEVO,user,/user/ToveLoVEVO,0,[]
50,Gytaket,3720,Gytaket,user,/user/Gytaket,0,[]
51,lightningxdisaster,63600,lightningxdisaster,user,/user/lightningxdisaster,1,['/user/GayStudios']
52,StaticLines,16700,GreatWhiteRep,user,/user/GreatWhiteRep,0,[]
53,xBritneyAlisonx,1140,69britchcf2,user,/user/69britchcf2,1,['/user/lightningxdisaster']
54,xLotsFanx,12700,xLotsFanx,user,/user/xLotsFanx,5,"['/user/Gytaket', '/user/lightningxdisaster', '/user/69britchcf2', '/user/GreatWhiteRep', '/channel/UCX55wYwuxltE_HzzWcRPkgw']"
55,Desperadoes,7440,UC0mNj7YOPIy33hByA8O9HYQ,channel,/channel/UC0mNj7YOPIy33hByA8O9HYQ,12,"['/user/EnchantedxPassion', '/channel/UCTj8PwZT7P9BgAS1J_4pU7w', '/user/xHeather360x', '/user/lightningxdisaster', '/user/AnneSoshi', '/user/MissKateLoneliness', '/user/Shainira', '/user/sparksfly221', '/user/kseniyaflamer', '/user/dantheman8251', '/user/AnotherFallingLeaf', '/user/MsScodders']"
56,EnchantedxPassion,24500,EnchantedxPassion,user,/user/EnchantedxPassion,6,"['/channel/UC-922j149h6zLpny2h8NYBw', '/user/YTBKanal', '/user/crazyhitii', '/user/Nialies', '/user/xMyOwnRainbowx', '/user/Alvaro7SQ']"
57,bellqueen,3990,UC-922j149h6zLpny2h8NYBw,channel,/channel/UC-922j149h6zLpny2h8NYBw,0,[]
58,YTB,4250,YTBKanal,user,/user/YTBKanal,0,[]
59,xMyOwnRainbowx,6520,xMyOwnRainbowx,user,/user/xMyOwnRainbowx,0,[]
60,alvxprodz,6510,Alvaro7SQ,user,/user/Alvaro7SQ,0,[]
61,Marie S,6900,UCTj8PwZT7P9BgAS1J_4pU7w,channel,/channel/UCTj8PwZT7P9BgAS1J_4pU7w,3,"['/user/GayStudios', '/channel/UC0mNj7YOPIy33hByA8O9HYQ', '/channel/UCtCN37KU2BT5bsE4ipdj5cw']"
62,GayStudios,9100,GayStudios,user,/user/GayStudios,4,"['/channel/UCX55wYwuxltE_HzzWcRPkgw', '/user/Gytaket', '/user/xLotsFanx', '/user/69britchcf2']"
63,Cool Kids Squad,977,UCtCN37KU2BT5bsE4ipdj5cw,channel,/channel/UCtCN37KU2BT5bsE4ipdj5cw,4,"['/user/AnneSoshi', '/user/Alvaro7SQ', '/user/EnchantedxPassion', '/user/SunnySmile2413']"
64,xHeather360x,87300,xHeather360x,user,/user/xHeather360x,0,[]
65,AnneSoshi,115000,AnneSoshi,user,/user/AnneSoshi,12,"['/user/AlphasBetaStudios', '/user/crazyhitii', '/user/Nialies', '/user/shewillbelovedprods', '/user/Alvaro7SQ', '/channel/UC-d6JGkTbo6NGNlt6xigmmA', '/user/jasonoschultzz', '/user/DiamondCappy', '/user/NureTaa', '/user/missjessieban', '/user/bea93delena', '/channel/UC0mNj7YOPIy33hByA8O9HYQ']"
66,AlphasBetaStudios,948,AlphasBetaStudios,user,/user/AlphasBetaStudios,0,[]
67,dairenate,210,shewillbelovedprods,user,/user/shewillbelovedprods,1,['/user/AnneSoshi']
68,Felicity Queen,49800,UC-d6JGkTbo6NGNlt6xigmmA,channel,/channel/UC-d6JGkTbo6NGNlt6xigmmA,0,[]
69,DiamondCappy,558,DiamondCappy,user,/user/DiamondCappy,0,[]
70,CLOSED,-1,NureTaa,user,/user/NureTaa,0,[]
71,Legendary Dreamer Edits,19500,missjessieban,user,/user/missjessieban,1,['/channel/UC-DjUf8ISMULZVMaPNqxwxg']
72,rememberorbeli,5680,bea93delena,user,/user/bea93delena,1,['/user/AnneSoshi']
73,Kitty Kat,42100,MissKateLoneliness,user,/user/MissKateLoneliness,0,[]
74,Shainira,36300,Shainira,user,/user/Shainira,12,"['/user/briony509x', '/user/crazyhitii', '/user/Nialies', '/user/Alvaro7SQ', '/user/movieboomboxfreak', '/channel/UC-d6JGkTbo6NGNlt6xigmmA', '/user/sparksfly221', '/user/lookingforastar', '/user/voordeel0', '/user/LaurenMichelle7298', '/channel/UCXdmyAlB1iC-EndnpZ-B2OA', '/user/xLiesForALiar']"
75,briony509x,276,briony509x,user,/user/briony509x,0,[]
76,xenchantedqueen,5460,movieboomboxfreak,user,/user/movieboomboxfreak,2,"['/user/missjessieban', '/user/SKristi101']"
77,sparksfly221,23600,sparksfly221,user,/user/sparksfly221,6,"['/user/Nialies', '/user/PewDiePie', '/channel/UC0mNj7YOPIy33hByA8O9HYQ', '/user/Shainira', '/user/LaurenMichelle7298', '/channel/UCXdmyAlB1iC-EndnpZ-B2OA']"
78,lookingforastar,-1,lookingforastar,user,/user/lookingforastar,3,"['/user/Nialies', '/user/voordeel0', '/user/Shainira']"
79,voordeel,157000,voordeel0,user,/user/voordeel0,3,"['/user/lookingforastar', '/channel/UCdyJCZxBWFmsv8qaZojzi2w', '/user/Shainira']"
80,LaurenMichelle,113000,LaurenMichelle7298,user,/user/LaurenMichelle7298,2,"['/user/Shainira', '/user/sparksfly221']"
81,the clexa chronicles,18600,UCXdmyAlB1iC-EndnpZ-B2OA,channel,/channel/UCXdmyAlB1iC-EndnpZ-B2OA,4,"['/channel/UC-59s1w6gpuuv8Eu_kBb54A', '/user/Shainira', '/user/sparksfly221', '/user/EnchantedxPassion']"
82,bella,21000,xLiesForALiar,user,/user/xLiesForALiar,0,[]
83,themetamorphosis,55700,kseniyaflamer,user,/user/kseniyaflamer,6,"['/user/Bilanka960', '/user/lightningxdisaster', '/channel/UCTkL2hI0A-Zfid4O9RvXVtw', '/channel/UCdyJCZxBWFmsv8qaZojzi2w', '/channel/UC-CncqoKlxCZSBS100ZYw8g', '/channel/UCUJYh4CZcoGmcOIOf8LfMgw']"
84,NiceSinner,27300,Bilanka960,user,/user/Bilanka960,3,"['/channel/UC-CncqoKlxCZSBS100ZYw8g', '/user/kseniyaflamer', '/channel/UCTkL2hI0A-Zfid4O9RvXVtw']"
85,Moonshadow,182000,UCTkL2hI0A-Zfid4O9RvXVtw,channel,/channel/UCTkL2hI0A-Zfid4O9RvXVtw,0,[]
86,ChromaMode,24200,UCdyJCZxBWFmsv8qaZojzi2w,channel,/channel/UCdyJCZxBWFmsv8qaZojzi2w,3,"['/channel/UC-CncqoKlxCZSBS100ZYw8g', '/user/crazyhitii', '/user/jasonoschultzz']"
87,vrazore,4950,UCUJYh4CZcoGmcOIOf8LfMgw,channel,/channel/UCUJYh4CZcoGmcOIOf8LfMgw,1,['/user/kseniyaflamer']
88,DSedits,3420,dantheman8251,user,/user/dantheman8251,6,"['/user/Nialies', '/user/nicsandnacs', '/channel/UC-tdPPVqdLB77oimoSOC4tg', '/user/nbcParksandRec', '/channel/UC0CKx0X5TDg49ZSHsqmuEJA', '/user/iWhoProductionsHD']"
89,Nics&Nacs,70200,nicsandnacs,user,/user/nicsandnacs,0,[]
90,Miz Cracker,224000,UC-tdPPVqdLB77oimoSOC4tg,channel,/channel/UC-tdPPVqdLB77oimoSOC4tg,0,[]
91,Parks and Recreation,276000,nbcParksandRec,user,/user/nbcParksandRec,0,[]
92,ryxn,523000,UC0CKx0X5TDg49ZSHsqmuEJA,channel,/channel/UC0CKx0X5TDg49ZSHsqmuEJA,0,[]
93,iWhoProductionsHD,654,iWhoProductionsHD,user,/user/iWhoProductionsHD,0,[]
94,AnotherFallingLeaf,1520,AnotherFallingLeaf,user,/user/AnotherFallingLeaf,0,[]
95,Scodders,35500,MsScodders,user,/user/MsScodders,8,"['/channel/UC-BK4D1LgOFgeH26l3CBF9w', '/user/crazyhitii', '/user/Nialies', '/channel/UC-ag_3YgIaPU0DZZLjiQZ-g', '/user/Alvaro7SQ', '/channel/UC-d6JGkTbo6NGNlt6xigmmA', '/channel/UC5O8u3q3grXfVEmg4l2zvLg', '/user/tscollywogs']"
96,ivrthboneless.,1160,UC-BK4D1LgOFgeH26l3CBF9w,channel,/channel/UC-BK4D1LgOFgeH26l3CBF9w,0,[]
97,leviosamour,1040,UC-ag_3YgIaPU0DZZLjiQZ-g,channel,/channel/UC-ag_3YgIaPU0DZZLjiQZ-g,0,[]
98,✦ Thataland ✦,-1,UC5O8u3q3grXfVEmg4l2zvLg,channel,/channel/UC5O8u3q3grXfVEmg4l2zvLg,1,['/user/MsScodders']
99,Scodders Backup,3760,tscollywogs,user,/user/tscollywogs,2,"['/user/MsScodders', '/channel/UC5O8u3q3grXfVEmg4l2zvLg']"
100,Visenerys,1490,Elienerys,user,/user/Elienerys,6,"['/user/xtaintedaffections', '/user/yawwnpanda', '/channel/UCYcER12CdhKMJ5cykju0wfw', '/user/Floraldreamerxox', '/user/TastyxLove', '/user/BriseisKenobi']"
101,elvenqueen,-1,xtaintedaffections,user,/user/xtaintedaffections,3,"['/user/xXBelleMarieXx', '/user/Snipok181724', '/user/yawwnpanda']"
102,Cursebreaker,4040,xXBelleMarieXx,user,/user/xXBelleMarieXx,2,"['/user/xtaintedaffections', '/user/Snipok181724']"
103,snipok edits,68300,Snipok181724,user,/user/Snipok181724,7,"['/user/unsympathischtv', '/channel/UC-CncqoKlxCZSBS100ZYw8g', '/user/crazyhitii', '/user/Alvaro7SQ', '/user/movieboomboxfreak', '/channel/UC-d6JGkTbo6NGNlt6xigmmA', '/user/PewDiePie']"
104,yawwnpanda,-1,yawwnpanda,user,/user/yawwnpanda,3,"['/channel/UC-d6JGkTbo6NGNlt6xigmmA', '/user/PewDiePie', '/user/Elienerys']"
105,firebreather,1560,UCYcER12CdhKMJ5cykju0wfw,channel,/channel/UCYcER12CdhKMJ5cykju0wfw,9,"['/channel/UCIzUW3A0sEoxut511kVzt_w', '/channel/UCyYtGtuyG3lVr78QESgP2-A', '/channel/UCtyh1qfftm3J5MlfIUQ73tg', '/user/yawwnpanda', '/user/xtaintedaffections', '/user/Elienerys', '/user/TastyxLove', '/user/MissChaoticxx', '/user/KlaineBlaine']"
106,Suicide Squad,3030,UCIzUW3A0sEoxut511kVzt_w,channel,/channel/UCIzUW3A0sEoxut511kVzt_w,6,"['/user/MissChaoticxx', '/user/xtaintedaffections', '/user/TastyxLove', '/user/Elienerys', '/channel/UCYcER12CdhKMJ5cykju0wfw', '/user/LaurenMichelle7298']"
107,AgentsOfVidding,6620,UCyYtGtuyG3lVr78QESgP2-A,channel,/channel/UCyYtGtuyG3lVr78QESgP2-A,2,"['/user/SunnySmile2413', '/user/AnneSoshi']"
108,Editography,1630,UCtyh1qfftm3J5MlfIUQ73tg,channel,/channel/UCtyh1qfftm3J5MlfIUQ73tg,3,"['/user/SunnySmile2413', '/user/AnneSoshi', '/user/yawwnpanda']"
109,suliels,13600,TastyxLove,user,/user/TastyxLove,5,"['/channel/UCIzUW3A0sEoxut511kVzt_w', '/user/MissChaoticxx', '/user/BriseisKenobi', '/user/xtaintedaffections', '/channel/UCYcER12CdhKMJ5cykju0wfw']"
110,fairmaiden,3120,MissChaoticxx,user,/user/MissChaoticxx,0,[]
111,royalvalkyrie,8680,KlaineBlaine,user,/user/KlaineBlaine,0,[]
112,simplybewitched,429,Floraldreamerxox,user,/user/Floraldreamerxox,12,"['/channel/UC3BuJhjT4EoJr6a65KvIK9g', '/channel/UC8c6sM3lLDpTTmnhpvXx1-A', '/channel/UCPixgCZM0REw3YEaGNxXQLQ', '/user/SKristi101', '/channel/UCUHh5hC8q2QFzvO3mONCANg', '/user/SunnySmile2413', '/user/KlaineBlaine', '/user/Elienerys', '/user/yawwnpanda', '/user/TastyxLove', '/user/xtaintedaffections', '/channel/UCYcER12CdhKMJ5cykju0wfw']"
113,NUJXVC,-1,UC3BuJhjT4EoJr6a65KvIK9g,channel,/channel/UC3BuJhjT4EoJr6a65KvIK9g,1,['/user/Floraldreamerxox']
114,Ruxxious,1380,UC8c6sM3lLDpTTmnhpvXx1-A,channel,/channel/UC8c6sM3lLDpTTmnhpvXx1-A,0,[]
115,xicarcaliix,2270,UCPixgCZM0REw3YEaGNxXQLQ,channel,/channel/UCPixgCZM0REw3YEaGNxXQLQ,2,"['/user/Floraldreamerxox', '/user/SKristi101']"
116,serendipity.,13500,SKristi101,user,/user/SKristi101,0,[]
117,Maryvids.,379,UCUHh5hC8q2QFzvO3mONCANg,channel,/channel/UCUHh5hC8q2QFzvO3mONCANg,4,"['/user/Elienerys', '/user/SKristi101', '/user/Floraldreamerxox', '/channel/UCPixgCZM0REw3YEaGNxXQLQ']"
118,SunnyVids,76600,SunnySmile2413,user,/user/SunnySmile2413,1,['/user/AlphasBetaStudios']
119,Silmarien,-1,BriseisKenobi,user,/user/BriseisKenobi,18,"['/user/Zelynxia', '/user/ElvieMary', '/channel/UC-DjUf8ISMULZVMaPNqxwxg', '/channel/UC-Jo3qUcaJPx7fyUJXOjMyw', '/channel/UC-MP5oEsIHvDvH3B6b04f8w', '/user/xMyOwnRainbowx', '/user/xFragileSerenityx', '/channel/UCCXsrdIYmv_7QTECjwiYGpA', '/user/UnexpectedCollabsx', '/channel/UCYcAfU5ZljIyWdSahPK-R8w', '/user/EvilVillainsStudio', '/user/EnchantedxCollabsx', '/user/randomisegal654111', '/user/laurenmcquilty', '/user/ErewinOfImladris', '/user/Xvampiireheart', '/user/raidonthecastle', '/user/KlaineBlaine']"
120,Zelynxia,1270,Zelynxia,user,/user/Zelynxia,0,[]
121,ElvieMary,3740,ElvieMary,user,/user/ElvieMary,0,[]
122,UnforgettableStories,389,UC-DjUf8ISMULZVMaPNqxwxg,channel,/channel/UC-DjUf8ISMULZVMaPNqxwxg,1,['/user/movieboomboxfreak']
123,Ruelle,485000,UC-Jo3qUcaJPx7fyUJXOjMyw,channel,/channel/UC-Jo3qUcaJPx7fyUJXOjMyw,0,[]
124,Avaiel,1280,UC-MP5oEsIHvDvH3B6b04f8w,channel,/channel/UC-MP5oEsIHvDvH3B6b04f8w,0,[]
125,Onnedhiel,130,xFragileSerenityx,user,/user/xFragileSerenityx,1,['/user/ElvieMary']
126,DarkStarStudios,2000,UCCXsrdIYmv_7QTECjwiYGpA,channel,/channel/UCCXsrdIYmv_7QTECjwiYGpA,1,['/user/BriseisKenobi']
127,The Valar,647,UnexpectedCollabsx,user,/user/UnexpectedCollabsx,5,"['/user/BriseisKenobi', '/user/Floraldreamerxox', '/user/randomisegal654111', '/user/xtaintedaffections', '/user/xXBelleMarieXx']"
128,QueensOfArda,128,UCYcAfU5ZljIyWdSahPK-R8w,channel,/channel/UCYcAfU5ZljIyWdSahPK-R8w,5,"['/user/BriseisKenobi', '/user/xtaintedaffections', '/user/MissChaoticxx', '/user/TastyxLove', '/user/Elienerys']"
129,EvilVillainStudio,4660,EvilVillainsStudio,user,/user/EvilVillainsStudio,1,['/user/Xvampiireheart']
130,EnchantedxCollabs,221,EnchantedxCollabsx,user,/user/EnchantedxCollabsx,1,['/user/BriseisKenobi']
131,OfDurin'sFolk,2120,randomisegal654111,user,/user/randomisegal654111,4,"['/user/ElvieMary', '/channel/UC-DjUf8ISMULZVMaPNqxwxg', '/user/Alvaro7SQ', '/user/BriseisKenobi']"
132,laurenmcquilty,833,laurenmcquilty,user,/user/laurenmcquilty,0,[]
133,ErewinOfImladris,1990,ErewinOfImladris,user,/user/ErewinOfImladris,0,[]
134,Xvampiireheart,12800,Xvampiireheart,user,/user/Xvampiireheart,2,"['/user/raidonthecastle', '/user/EvilVillainsStudio']"
135,Raid Onthecastle,1010,raidonthecastle,user,/user/raidonthecastle,0,[]
136,iNoiizY,3900,UC-PdGWiopIA-FFbutDGkD8Q,channel,/channel/UC-PdGWiopIA-FFbutDGkD8Q,0,[]
137,Patrisha Dictado,41100,UC098RYk8HPI1hP-Z7R4izrA,channel,/channel/UC098RYk8HPI1hP-Z7R4izrA,0,[]
138,Magnolias on Tour,59400,MagnoliaSchlossallee,user,/user/MagnoliaSchlossallee,12,"['/user/InLoveWithDesign', '/user/nellysmodeblog', '/user/iMaxiiii', '/user/HollyJeanHarlow', '/user/alive4fashion', '/user/CiraLaMare', '/user/OfficialMissBow', '/user/BeautyDynamite', '/user/Nikisbeautychannel', '/user/CharlottesBlog', '/user/LoveTheCosmetics', '/user/MissStylishhh']"
139,InLoveWithDesign,18500,InLoveWithDesign,user,/user/InLoveWithDesign,12,"['/user/MagnoliaSchlossallee', '/user/EbruZa', '/channel/UC1GB9cmkr7EqlRwtJljBngw', '/user/SHRstyling', '/user/FitXmeinStudio', '/user/SaskiasBeautyBlog', '/channel/UC2bcX6Q6xgeCs7RqUyvzKpw', '/user/naomiwayne', '/user/DIYeule', '/user/maksimized', '/user/SofiaBeautyCafe', '/user/DisciplesLDN']"
